,title,complainant,consultation_requested,curr_stat,cited,maker_pr
DS1,Malaysia — Prohibition of Imports of Polyethylene and Polypropylene,SINGAPORE,10 JANUARY 1995,"SETTLED OR TERMINATED (WITHDRAWN, MUTUALLY AGREED SOLUTION)","['GATT 1994: Art. X, XI, XVIII', 'Import Licensing: Art. 3']",0
DS2,United States — Standards for Reformulated and Conventional Gasoline,"VENEZUELA, BOLIVARIAN REPUBLIC OF",24 JANUARY 1995,IMPLEMENTATION NOTIFIED BY RESPONDENT,"['GATT 1994: Art. I, III, XXII:1', 'Technical Barriers to Trade (TBT): Art. 2, 14.1']",1
DS3,"Korea, Republic of — Measures Concerning the Testing and Inspection of Agricultural Products",UNITED STATES,4 APRIL 1995,IN CONSULTATIONS,"['Agriculture: Art. 4', 'GATT 1994: Art. III, XI', 'Sanitary and Phytosanitary Measures (SPS): Art. 2, 5', 'Technical Barriers to Trade (TBT): Art. 5, 6']",0
DS4,United States — Standards for Reformulated and Conventional Gasoline,BRAZIL,10 APRIL 1995,IMPLEMENTATION NOTIFIED BY RESPONDENT,"['GATT 1994: Art. I, III', 'Technical Barriers to Trade (TBT): Art. 2']",0
DS5,"Korea, Republic of — Measures Concerning the Shelf-Life of Products",UNITED STATES,3 MAY 1995,"SETTLED OR TERMINATED (WITHDRAWN, MUTUALLY AGREED SOLUTION)","['Agriculture: Art. 4', 'GATT 1994: Art. III, XI', 'Sanitary and Phytosanitary Measures (SPS): Art. 2, 5', 'Technical Barriers to Trade (TBT): Art. 2']",0
DS6,United States — Imposition of Import Duties on Automobiles from Japan under Sections 301 and 304 of the Trade act of 1974,JAPAN,17 MAY 1995,"SETTLED OR TERMINATED (WITHDRAWN, MUTUALLY AGREED SOLUTION)","['Dispute Settlement Understanding: Art. 23', 'GATT 1994: Art. I, II']",0
DS7,European Communities — Trade Description of Scallops,CANADA,19 MAY 1995,"SETTLED OR TERMINATED (WITHDRAWN, MUTUALLY AGREED SOLUTION)","['GATT 1994: Art. I, III', 'Technical Barriers to Trade (TBT): Art. 2']",1
DS8,Japan — Taxes on Alcoholic Beverages,EUROPEAN COMMUNITIES,21 JUNE 1995,MUTUALLY ACCEPTABLE SOLUTION ON IMPLEMENTATION NOTIFIED,['GATT 1994: Art. III:2'],1
DS9,European Communities — Duties on Imports of Cereals,CANADA,30 JUNE 1995,"PANEL ESTABLISHED, BUT NOT YET COMPOSED","['GATT 1994: Art. II, VII', 'Customs valuation (Article VII of GATT 1994): Art. 1']",0
DS10,Japan — Taxes on Alcoholic Beverages,CANADA,7 JULY 1995,MUTUALLY ACCEPTABLE SOLUTION ON IMPLEMENTATION NOTIFIED,"['GATT 1994: Art. III:1, III:2']",0
DS11,Japan — Taxes on Alcoholic Beverages,UNITED STATES,7 JULY 1995,MUTUALLY ACCEPTABLE SOLUTION ON IMPLEMENTATION NOTIFIED,"['GATT 1994: Art. III, III:2']",1
